tokens,ner_tags,confidence_score
"['R.H.', 'Saunders', '(Rěka', 'Swjata', 'Łužica)', '(968', 'MW)\n']","[0, 3, 3, 3, 4, 4, 0]",0.8591457475786624
"[""'"", ""'"", ""'"", 'Anders', 'Lindström', ""'"", ""'"", ""'\n""]","[0, 0, 0, 0, 0, 0, 0, 0]",0.9905230173697839
"['Karl', 'Ove', 'Knausgård', '(rodźeny', '1968)\n']","[1, 1, 2, 2, 2]",0.966919732945306
"['Atlantic', 'City,', 'Nowy', 'Jorkej\n']","[3, 3, 3, 4]",0.9389038140123541
"['Jej', 'córka', 'z', 'druheho', 'spěhowaše', 'była', 'Marie', ""d'Agoult"", '(1805–1876),', 'kotraž', 'zasrědnje', 'porodiło', 'někotrych', 'děti,', 'mjez', 'nimi', '-', 'z', 'jeje', 'lězenja', 'z', 'Franzem', 'Lisztem', '-', 'Cosima', 'Wagner', '(1837–1930).\n']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.9400480934551784
"['Katolska', 'cyrkej', 'swjateje', 'Marje', '(Sandusky,', 'Ohio)\n']","[3, 3, 3, 4, 4, 4]",0.8760887330228632
"['Ššš', '...', 'Nězjawnuj', '""\n']","[0, 0, 0, 0]",0.8749531830350558
"['Antonín', 'Rýgr', '(1970–72)\n']","[1, 1, 2]",0.9064559882337396
"['Induktowany', 'do', 'US', 'Počestneho', 'Hockeyjeho', 'Zala', 'w', '2015.\n']","[0, 0, 0, 0, 0, 0, 0, 0]",0.9038856989807553
"['Dia', 'Evtimova', 'Catalina', 'Castaño', 'Dinah', 'Pfizenmaier', 'Tatjana', 'Malek\n']","[1, 1, 2, 2, 2, 2, 2, 2]",0.9424803311174567
"['102.7', 'MHz', 'Triple', 'J', '–', 'ABC\n']","[0, 0, 0, 0, 0, 0]",0.7446435069044431
"['*20px', 'Statna', 'šytrika', 'Idaho', '5\n']","[0, 0, 0, 0, 3]",0.9635512190205711
"[""''"", 'Atelocentra', ""''"", 'Meyrick,', '1884\n']","[0, 0, 0, 0, 0]",0.9004690391676766
"['Antarktiski', 'prion\n']","[5, 5]",0.7417497890336173
"['James', 'Franco', '(', 'M.F.A.\n']","[1, 1, 2, 0]",0.9446241011222204
"['Přinoš', 'Albert', 'Wiktor,', 'knježk', 'Klarenca', 'a', 'Avondale\n']","[1, 1, 2, 2, 2, 2, 0]",0.8997858699999357
"['Zočinj', ""''\n""]","[5, 5]",0.9090805649757385
"['Durrães', 'a', 'Tregosa\n']","[1, 1, 1]",0.8402524722947015
"['Stacija', 'metra', 'Brent', 'Cross\n']","[3, 3, 4, 4]",0.9452342838048935
"['Prěnje', 'zjawjene', 'w', 'Serranía', 'de', 'las', 'Quinchas', 'dnja', '17.', 'januara', '2006.\n']","[0, 0, 0, 0, 0, 0, 0, 5, 5, 6, 6]",0.8706123815930408
"['Strona', 'Ciwilneje', 'Swobody\n']","[0, 0, 3]",0.9246868382800709
"['キイロキリガ', '—', 'Xanthia', 'togata', ""''"", '(', 'Esper', ',', '1788', ')\n']","[1, 5, 5, 3, 6, 6, 0, 0, 0, 0]",0.7746408202431418
"['*8.', 'awgust', '–', 'Craig', 'Breslow\n']","[0, 0, 0, 0, 3]",0.6761994787624904
"['Je', 'wónował', 'tež', 'dwójce', 'Japan', 'Senior', 'Open.\n']","[0, 0, 0, 0, 0, 0, 0]",0.9590115427970887
"['Jego', 'pra-wujo', 'je', 'direktor', 'Whit', 'Stillman.\n']","[0, 0, 0, 0, 0, 0]",0.9707573567117963
"[""''"", ""'"", ""''"", 'Chauliodus', ""''"", ""'"", ""''\n""]","[0, 0, 0, 0, 0, 0, 0]",0.9397121369838715
"['Janaki,', 'S.', 'P.', 'Balasubrahmanyam\n']","[1, 1, 2, 2]",0.9575175515242985
"[""''Thornhill"", ""Islanders''"", 'přemhajachu', ""''Markham"", ""Waxers''"", ""''4-hry-do-3''\n""]","[0, 0, 0, 0, 0, 0]",0.9563051232269832
"['Nekrolog', 'Juliette', 'Peirce.\n']","[0, 1, 1]",0.7874113104560159
"[""78''"", 'w', 'Osnabrücku.\n']","[0, 0, 0]",0.9635156442721685
"['Gian', 'Girolamo', 'Albani\n']","[1, 1, 1]",0.9034616127610207
"['``', 'Rhinestone', 'Cowboy', ""''"", '(', 'Larry', 'Weiss', ')', '-', '3:15\n']","[0, 0, 5, 5, 5, 0, 0, 0, 0, 0]",0.8263424865224145
"['Epizoda', '9', '-', 'Michael', 'Conlan\n']","[0, 0, 0, 1, 1]",0.9430213305685256
"['Antawn', 'Jamison', '(', '28', ')\n']","[1, 1, 2, 2, 0]",0.9573988450898064
"['Chillicothe', 'Paints', '(1993–2008,', 'připojili', 'so', 'k', 'Prospect', 'League)\n']","[1, 1, 1, 1, 2, 2, 0, 0]",0.8991087519604227
"['Antoine', 'Dadin', 'de', 'Hauteserre\n']","[1, 1, 2, 2]",0.950834764374627
"[':', ""''"", 'Pjatny', 'Brat', '(', 'ztwarjony', 'wót', 'Philip', 'Anthony-Rodriguez', ')', ""''\n""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.9618520777800987
"['Château', 'de', 'Champs-sur-Marne\n']","[3, 3, 4]",0.8590538718483665
"['Generalny', 'tajemnik', 'Združenejch', 'narodow\n']","[0, 0, 0, 0]",0.8594140325273786
