tokens,ner_tags,confidence_score
"['Р.Х.', 'Сандерс', '(', 'St.', 'Lawrence', 'River', ')', '(', '968', 'МВт', ')\n']","[1, 1, 1, 2, 2, 2, 2, 0, 0, 0, 0]",0.8872940015225184
"[""''Андерс"", ""Линдстрём''\n""]","[0, 0]",0.9400440637881939
"['Карл', 'Уве', 'Кнаусгорд', '(туған', '1968)\n']","[1, 1, 2, 2, 2]",0.94823663632075
"['Atlantic', 'City,', 'New', 'Jersey\n']","[1, 5, 5, 6]",0.7470067799091339
"['Ĕпĕ', 'терĕслĕ', 'пиркĕшене', 'вăл', 'канăкă', 'Тинашăр', 'авăтнă', 'ири', 'Хĕрри', 'Мария-ди', 'Гоулт', '(1805–1876),', 'касителле', 'вăл', 'ентеканăшĕ', '–-', 'Франц', 'Лист', '–-', 'экри', 'Косима', 'Вагнер', '(1837–1930)', 'таклă', 'пуянĕс', 'пуғăнă.\n']","[0, 3, 3, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.9249675610661506
"['Санта', 'Мари', 'католик', 'чиркеве', '(Сандуски,', 'Огайо)\n']","[1, 1, 2, 2, 2, 0]",0.9007232397794723
"['Шшш', '...', 'Пирем', ""йәшмелле''\n""]","[1, 1, 1, 2]",0.9153606085216298
"['Антонин', 'Рыгр', '(1970–72)\n']","[3, 3, 3]",0.7973994773167831
"['2015', 'сӑнати', 'ҫултан', 'Америка', 'Херлӳсем', 'хоккеҫи', 'палланчи', 'музеенче', 'хуртулнӑ.\n']","[0, 0, 0, 0, 0, 0, 0, 3, 0]",0.8291700502236684
"['Диa', 'Евтимова', 'Каталина', 'Кастаньо', 'Динах', 'Пфизенмайер', 'Татьяна', 'Малек\n']","[1, 1, 1, 1, 1, 2, 2, 2]",0.8783511409053096
"['102.7', 'МГц', 'Трипл', 'Джей', '–', 'АБС\n']","[0, 0, 0, 1, 1, 1]",0.6978157851845026
"['*20px', 'Айдах', 'штатхи', 'Ҫултака', 'юл', '5\n']","[0, 0, 3, 3, 3, 3]",0.9328867547652301
"[""''Atelocentra''"", 'Meyrick,', '1884\n']","[0, 0, 0]",0.8535468237740653
"[""'"", ""''Антаркти"", ""prion''"", ""'\n""]","[0, 0, 0, 1]",0.909996339908013
"['Джеймс', 'Франко', '(', 'M.F.A.\n']","[1, 1, 1, 1]",0.9494161327679952
"['Принц', 'Альберт', 'Виктор,', 'Кларенс', 'ҫěррипе', 'паҫлани', 'дук\n']","[1, 1, 1, 2, 2, 0, 1]",0.8603013285568782
"['Килме', 'пулăхĕн', 'пулнăсам\n']","[3, 3, 3]",0.9392465107581195
"['Durrães', 'юхӗ', 'Трегоса\n']","[1, 1, 1]",0.9390221834182739
"['Brent', 'Cross', 'калав', 'ирлен', 'стацияӗ\n']","[1, 1, 2, 2, 2]",0.7637265851864448
