tokens,ner_tags,confidence_score
"['आर.एच.', 'सॉन्डर्स', '(सेंट', 'लॉरेंस', 'नदी)', '(968', 'मेगावाट)\n']","[1, 1, 2, 2, 2, 2, 2]",0.7782759645155498
"[""'Anders"", ""Lindström'\n""]","[0, 3]",0.6498537758986155
"['Karl', 'Ove', 'Knausgård', '(', 'जनम', '1968', ')\n']","[0, 0, 0, 3, 3, 2, 0]",0.6435073390603065
"['अटलांटिक', 'सिटी,', 'न्यू', 'जर्सी\n']","[5, 5, 5, 5]",0.8430986681154796
"['ओकरा', 'दोसरा', 'बियाह', 'से', 'बिटिया', 'रहल', 'Marie', ""d'Agoult"", '(1805–1876),', 'जेकरा', 'से', 'कुछ', 'बच्चा', 'जनमल,', 'ओह', 'बच्चन', 'में', 'से–', 'Franz', 'Liszt', 'के', 'संगे', 'संबंध', 'से–', 'Cosima', 'Wagner', '(1837–1930)', 'भइल', 'रहली।\n']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.9740132230978745
"['सेंट', 'मैरी', 'के', 'कैथोलिक', 'गिरजाघर', '(सैंडुस्की,', 'ओहायो)\n']","[3, 3, 3, 3, 4, 4, 4]",0.7954393051288746
"['श्श्श', '...', 'मत', ""बताई'''\n""]","[0, 1, 0, 0]",0.88210479170084
"['Antonín', 'Rýgr', '(', '1970–72', ')\n']","[3, 3, 3, 5, 0]",0.8213877379894257
"['2015', 'में', 'यूनाइटेड', 'स्टेट्स', 'हॉकी', 'हॉल', 'ऑफ', 'फेम', 'में', 'शामिल', 'भइल।\n']","[0, 0, 3, 3, 3, 3, 4, 4, 4, 4, 4]",0.9047686290740967
"['Dia', 'Evtimova', 'Catalina', 'Castaño', 'Dinah', 'Pfizenmaier', 'Tatjana', 'Malek\n']","[0, 0, 0, 0, 1, 2, 2, 2]",0.7338470803065733
"['102.7', 'MHz', 'Triple', 'J', '–', 'ABC\n']","[0, 0, 0, 0, 0, 0]",0.9689409335454305
"['*20px', 'आइडाहो', 'राजकीय', 'राजमार्ग', '5\n']","[0, 0, 0, 0, 3]",0.8790133156274494
"[""''Atelocentra''"", 'Meyrick,', '1884\n']","[0, 0, 3]",0.6884704040629523
"[""'"", ""''"", 'एन्टार्कटिक', 'प्रायोन', ""''"", ""'\n""]","[0, 0, 0, 3, 3, 3]",0.9475135654211044
"['जेम्स', 'फ्रांको', '(एम.एफ.ए.)\n']","[1, 1, 1]",0.8838591680807226
