,tokens,ner_tags,langs,spans
0,"['Гыйләҗ', '-', '«Сакла', ',', 'шартламасын', '!', '»', '(', 'Кәрим', 'Тинчурин', ')']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Кәрим Тинчурин']
1,"['Госман', 'империясе', 'солтаннары']","[1, 2, 2]","['tt', 'tt', 'tt']",['PER: Госман империясе солтаннары']
2,"['ЮНӘЛТҮ', 'Казан', '(', 'Идел', 'буе', ')', 'федераль', 'университеты']","[0, 3, 4, 4, 4, 4, 4, 4]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Казан ( Идел буе ) федераль университеты']
3,"['``', 'The', 'Beatles', ""''"", 'törkemenä', 'nigez', 'saluçı', 'häm', 'qatnaşuçısı', '.']","[0, 3, 4, 0, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: The Beatles']
4,"['Рөстәм', 'Яхин', 'романсларының', 'күпчелеген', 'башкара', '.']","[1, 2, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Рөстәм Яхин']
5,"['Коми', 'Республикасы', 'биләмәләрендә', 'ага', '.']","[5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Коми Республикасы']
6,"['«Ҡаһым', 'түрә»', ',', 'Б.', 'Бикбай', ""''Акназар"", ""''""]","[0, 0, 0, 1, 2, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Б. Бикбай']
7,"['Коми', 'Республикасы', 'биләмәләрендә', 'ага', '.']","[5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Коми Республикасы']
8,"['Алтын', 'Урдадагы', 'административ', 'идарә', 'итү', 'вазыйфасы', '.']","[3, 4, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Алтын Урдадагы']
9,"['Әлеге', 'вакытта', 'Футбол', 'милли', 'лигасы', 'беренчелегендә', 'уйный', '.']","[0, 0, 3, 4, 4, 4, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Футбол милли лигасы беренчелегендә']
10,"[""'"", ""''"", 'Франц', 'Һалдер', '.', ""''"", ""'""]","[0, 0, 1, 2, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Франц Һалдер']
11,"['Томск', 'өлкәсе', ',', 'Красноярск', 'крае', 'биләмәләрендә', 'ага', '.']","[5, 6, 0, 5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Томск өлкәсе', 'LOC: Красноярск крае']"
12,"['Максим', 'Горький', 'әсәрләрен', 'яратып', 'укый', ',', 'язучы', 'һөнәре', 'белән', 'кызыксыну', 'уяна', '.']","[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Максим Горький']
13,"['ЮНӘЛТҮ', 'Башкорт', 'дәүләт', 'университеты']","[0, 3, 4, 4]","['tt', 'tt', 'tt', 'tt']",['ORG: Башкорт дәүләт университеты']
14,"['Дмитрий', 'Павлов', ')', ""''"", 'гаскәрләре', 'үз', 'эченә', '3нче', ""''"", '(', 'ком', '.']","[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Дмитрий Павлов']
15,"['Пермь', 'крае', 'биләмәләрендә', 'ага', '.']","[5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Пермь крае']
16,"['Пётр', 'I', 'эчке', 'һәм', 'тышкы', 'сәясәтендә', 'кискен', 'үзгәрлешләрне', 'үткәрә', '.']","[1, 2, 0, 0, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Пётр I']
17,"['Вольтер', '—', 'Франсуа-Мари', 'Аруэ']","[1, 0, 0, 0]","['tt', 'tt', 'tt', 'tt']",['PER: Вольтер']
18,"[""''Ильяс"", ""''"", '—', '«Назлы', 'кияү»', 'К.', 'Тинчурин', '.']","[0, 0, 0, 0, 0, 1, 2, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: К. Тинчурин']
19,"['Тумыштан', 'соң', 'әнисеннән', 'алына', 'һәм', 'Елизавета', 'II', 'сараенда', 'тәрбияләнә', '.']","[0, 0, 0, 0, 0, 1, 2, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Елизавета II']
20,"[""'"", ""''"", 'Кованга', ""''"", ""'"", '—', 'Русия', 'территориясеннән', 'ага', 'торган', 'елга', '.']","[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Русия']
