tokens,ner_tags,confidence_score
"['R.H.', 'Saunders', '(', 'Fiume', 'San', 'Lorenzo', ')', '(', '968', 'MW', ')\n']","[0, 0, 0, 0, 2, 2, 0, 0, 6, 6, 6]",0.864965170621872
"[';', ""'"", ""''"", 'Anders', 'Lindström', ""''"", ""'\n""]","[0, 0, 0, 0, 1, 2, 2]",0.9421942489487785
"['Karl', 'Ove', 'Knausgård', '(', 'natu', 'in', '1968', ')\n']","[1, 1, 2, 2, 2, 2, 0, 0]",0.9721912911960057
"['Atlantic', 'City,', 'New', 'Jersey\n']","[3, 3, 3, 4]",0.8971826553344726
"['A', 'so', 'figliola', 'da', 'u', 'sicondu', 'matrimoniu', 'era', 'Marie', ""d'Agoult"", '(1805–1876),', 'chì', 'à', 'so', 'volta', 'detti', 'nascita', 'à', 'parechji', 'figliole,', 'trà', ""d'elli—da"", 'a', 'so', 'rilazione', 'cù', 'Franz', 'Liszt—Cosima', 'Wagner', '(1837–1930).\n']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.9555256526861617
"['Chjesa', 'Cattòlica', 'di', 'St.', 'Mary', '(Sandusky,', 'Ohio)\n']","[0, 0, 5, 0, 0, 1, 1]",0.6890380900157126
"['Shhh', '...', 'Ùn', 'Dì', 'micca', ""''\n""]","[0, 0, 0, 0, 0, 0]",0.9530755238873618
"['Antonín', 'Rýgr', '(', '1970–72', ')\n']","[1, 1, 2, 2, 0]",0.9531070427461104
"['Incorporatu', 'in', 'a', 'United', 'States', 'Hockey', 'Hall', 'of', 'Fame', 'in', '2015\n']","[0, 0, 0, 3, 4, 4, 4, 4, 4, 4, 0]",0.7737503477505275
"['Dia', 'Evtimova', 'Catalina', 'Castaño', 'Dinah', 'Pfizenmaier', 'Tatjana', 'Malek\n']","[0, 1, 3, 3, 4, 4, 4, 4]",0.850338498299772
"['102.7', 'MHz', 'Triple', 'J', '–', 'ABC\n']","[0, 0, 0, 0, 0, 1]",0.8686600774526596
"['*20px', 'Autostrada', 'Statale', ""d'Idaho"", '5\n']","[0, 0, 0, 0, 3]",0.8668870883328574
"['""Atelocentra""', 'Meyrick,', '1884\n']","[0, 5, 1]",0.6236237014333407
"['Prionu', 'antarticu\n']","[5, 5]",0.795075923204422
"['James', 'Franco', '(', 'M.F.A.\n']","[1, 1, 2, 0]",0.9478738109270731
"['Prince', 'Albert', 'Victor,', 'Duca', 'di', 'Clarence', 'e', 'Avondale\n']","[1, 2, 2, 0, 0, 0, 0, 0]",0.7789250705391169
"['Cumu', 'Fà', 'à', 'Scappà', 'cù', ""l'Assassiniu\n""]","[0, 0, 0, 0, 0, 0]",0.7679198761781056
"['Durrães', 'è', 'Tregosa\n']","[5, 3, 4]",0.7298608190483518
"['Stazione', 'di', 'metropolitana', 'Brent', 'Cross\n']","[0, 0, 4, 4, 4]",0.8802525326609612
"['Registratu', 'a', 'prima', 'volta', 'in', 'a', 'Serranía', 'de', 'las', 'Quinchas', 'u', '17', 'di', 'ghjennaghju,', '2006.\n']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 6, 6, 6]",0.9144610304917608
"['Partitu', 'di', 'Libertà', 'Civica\n']","[3, 3, 4, 4]",0.8779716359244453
"['キイロキリガ', '—', 'Xanthia', 'togata', ""''"", '(', 'Esper', ',', '1788', ')\n']","[0, 5, 5, 6, 0, 0, 0, 3, 3, 3]",0.7604824114929546
"['*8', 'Agostu', '–', 'Craig', 'Breslow\n']","[0, 0, 0, 0, 1]",0.9443432241678238
"['Hà', 'ancu', 'vintu', 'u', 'Japan', 'Senior', 'Open', 'duie', 'volte.\n']","[0, 0, 0, 0, 0, 0, 5, 3, 0]",0.8827844094485044
"['U', 'so', 'bisnonnatu', 'hè', 'u', 'direttore', 'Whit', 'Stillman', '.\n']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",0.8978031948208809
"[""''"", ""'"", ""''"", 'Chauliodus', ""''"", ""'"", ""''\n""]","[0, 0, 0, 0, 0, 3, 3]",0.8786584287881851
"['Janaki]],', 'S.', 'P.', 'Balasubrahmanyam\n']","[1, 1, 0, 0]",0.9123665392398834
"['I', ""''"", 'Thornhill', 'Islanders', ""''"", 'anu', 'sconfittu', 'i', 'Markham', 'Waxers', ""''4"", 'à', '3', ""partite''\n""]","[0, 0, 0, 1, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0]",0.9436799499296373
"['Necrologia', 'di', 'Juliette', 'Peirce.\n']","[0, 0, 0, 0]",0.8406019980708758
"['78', ""''"", 'in', 'Osnabrück.\n']","[0, 0, 0, 0]",0.9637023914944042
"['Gian', 'Girolamo', 'Albani\n']","[3, 4, 4]",0.8587873801589012
"['``', 'Rhinestone', 'Cowboy', ""''"", '(', 'Larry', 'Weiss', ')', '-', '3:15\n']","[0, 0, 1, 1, 1, 2, 2, 2, 0, 0]",0.9319569278847087
"['*Episodiu', '9', '-', 'Michael', 'Conlan\n']","[0, 0, 0, 0, 0]",0.9685678807171908
"['Antawn', 'Jamison', '(', '28', ')\n']","[1, 1, 2, 2, 0]",0.964099195268419
"['Chillicothe', 'Paints', '(1993–2008,', 'hà', 'unitu', 'a', 'Prospect', 'League)\n']","[1, 1, 1, 1, 2, 4, 0, 0]",0.7934499425547463
"['Antoine', 'Dadin', 'de', 'Hauteserre\n']","[1, 1, 2, 2]",0.956352002090878
"[""'''"", 'Quintu', 'Fratellu', '(interpretatu', 'da', 'Philip', 'Anthony-Rodriguez)', ""'''\n""]","[0, 0, 0, 0, 0, 0, 0, 0]",0.9732993649584907
"['Château', 'di', 'Champs-sur-Marne\n']","[3, 3, 4]",0.7386580163782294
"['Sgretariu-Generale', 'di', 'i', 'Nazioni', 'Unite\n']","[5, 5, 5, 6, 6]",0.8439932217200597
"['1978', 'demo', 'libera', 'nantu', 'à', 'Off', 'the', 'Wall', '(Edizione', 'Speciale)', ""''"", '(2001)\n']","[0, 0, 0, 3, 3, 4, 4, 4, 4, 0, 0, 0]",0.9379178881645203
"['Cità', 'Nova', 'di', 'Fanling', 'Nord', '(', 'Estensione', 'di', 'Fanling-Sheung', 'Shui', 'Cità', 'Nova', ')\n']","[0, 0, 0, 5, 5, 6, 0, 0, 0, 1, 1, 2, 2]",0.9310903208596366
"['Carina', 'Witthöft,', '6–3,', '7–5\n']","[1, 1, 2, 2]",0.9734767357508342
"['Per', 'Santa', 'Clara\n']","[5, 6, 6]",0.784383499622345
"['Distrettu', 'Naziunale', 'Eveno-Bytantaysky\n']","[5, 5, 5]",0.5848984817663828
"[""''"", 'Euxoa', 'centralis', ""''"", '(', 'Staudinger', ',', '1889', ')\n']","[0, 0, 5, 5, 6, 6, 0, 0, 0]",0.8995922102647669
"['Diocesi', 'di', 'San', 'Andrés', 'Tuxtla\n']","[0, 4, 4, 4, 4]",0.8742160797119141
"['Palisades,', 'New', 'York\n']","[3, 3, 3]",0.8689095377922058
"['Rosephanye', 'Powell', '(', 'nata', 'in', 'u', '1962', ')\n']","[1, 1, 1, 2, 2, 0, 0, 0]",0.9686392362301166
"['Distrettu', 'di', 'Chum', 'Ta', 'Bong\n']","[5, 0, 0, 0, 4]",0.6566222816705704
"['Epica', '–', 'Consign', 'to', 'Oblivion\n']","[3, 4, 0, 0, 0]",0.7275349025925001
"['Elencu', 'di', 'episodi', 'di', 'Flywheel,', 'Shyster,', 'è', 'Flywheel', '(serie', 'radio', '1990)\n']","[0, 0, 0, 0, 0, 1, 1, 2, 2, 0, 1]",0.8462063612846228
"[""''Epirrhoe"", ""rivata''"", '(Hübner,', '1813)\n']","[0, 0, 5, 3]",0.8349348972825443
"[""**''Justice"", 'League', ""Elite''**\n""]","[0, 0, 0]",0.8762756700699146
"['Si', 'trova', 'in', 'Perù.\n']","[0, 0, 0, 5]",0.961345799267292
"['Ecuador', ':', '7', '%', 'di', 'a', 'pupulazione\n']","[0, 0, 0, 0, 0, 0, 0]",0.8568853277426499
"['Tradutore', 'di', 'KCCV-FM,', 'Overland', 'Park,', 'Kansas\n']","[0, 0, 0, 0, 0, 0]",0.852203432056639
"['Signora', 'Brigitte', 'Vallée.\n']","[0, 0, 0]",0.7546590401066674
"['Lipiny,', 'Ciechanów', 'County\n']","[3, 3, 3]",0.7550999790430069
"['Tatiana', 'Volosozhar', '/', 'Maxim', 'Trankov\n']","[1, 1, 2, 2, 2]",0.8626660246115464
"['Raymerville', '–', 'Markville', 'East,', 'Ontario\n']","[1, 1, 2, 2, 2]",0.8888778537511826
"['Robert', 'Maxwell,', '5u', 'Lord', 'Maxwell', '(1493–1546)\n']","[1, 1, 2, 2, 0, 0]",0.9201293938300189
