tokens,ner_tags,confidence_score
"['R.H.', 'Saunders', '(', ""Reniranon'i"", 'St.', 'Lawrence', ')', '(', '968', 'MW', ')\n']","[1, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2]",0.621267152329286
"['Anders', 'Lindström\n']","[1, 1]",0.6552154549530574
"['Karl', 'Ove', 'Knausgård', '(teraka', ""tamin'ny"", '1968)\n']","[1, 1, 2, 2, 2, 2]",0.8947500785191854
"['Atlantic', 'City,', 'New', 'Jersey\n']","[5, 6, 6, 2]",0.5535843253135682
"['Ny', 'zanany', 'vavy', ""tamin'ny"", 'fanambadiana', 'faharoa', 'dia', 'i', 'Marie', ""d'Agoult"", '(1805–1876),', 'izay', 'niteraka', 'zanaka', 'maro', 'koa,', ""anisan'izany"", ""—tamin'ny"", 'fifankatiavany', ""tamin'i"", 'Franz', 'Liszt', '—', 'i', 'Cosima', 'Wagner', '(1837–1930).\n']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 2, 0, 2, 2, 2, 2, 0, 0]",0.8746500613292059
"['Fiangonana', 'Katolika', 'St.', 'Mary', '(Sandusky,', 'Ohio)\n']","[0, 3, 3, 6, 0, 4]",0.5878502318733617
"['Shhh', '...', 'Aza', 'milaza', ""''\n""]","[5, 6, 6, 0, 0]",0.7579957246780396
"['Antonín', 'Rýgr', '(', '1970–72', ')\n']","[3, 3, 4, 4, 4]",0.7024394517595117
"['*Voaray', 'tao', ""amin'ny"", ""Lapan'ny"", 'Mpitendry', 'Hockey', 'Amerikana', ""tamin'ny"", 'taona', '2015\n']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.9270793663130866
"['Dia', 'Evtimova', 'Catalina', 'Castaño', 'Dinah', 'Pfizenmaier', 'Tatjana', 'Malek\n']","[1, 1, 2, 2, 2, 2, 2, 2]",0.7482204261151227
"['102.7', 'MHz', 'Triple', 'J', '–', 'ABC\n']","[3, 0, 0, 3, 4, 4]",0.6528259217739105
"['*20px', 'Lalam-panjakana', 'Idaho', '5\n']","[0, 1, 1, 1]",0.7968103845914205
"['""Atelocentra""', 'Meyrick,', '1884\n']","[0, 5, 5]",0.6146494622031847
"[""'"", ""''"", 'Prion', 'antarctica', ""''"", ""'\n""]","[0, 0, 0, 0, 5, 5]",0.8849301214019457
"['James', 'Franco', '(', 'M.F.A.', ')\n']","[1, 1, 2, 2, 2]",0.7434611435119922
