tokens,ner_tags,confidence_score
"['R.H.', 'Saunders', '(', 'St.', 'Lawrence', 'Áin', ')', '(', '968', 'MW', ')\n']","[1, 1, 2, 2, 2, 2, 0, 0, 0, 1, 1]",0.9211102355094183
"[';', ""'"", ""''"", 'Anders', 'Lindström', ""''"", ""'\n""]","[0, 0, 0, 0, 1, 2, 2]",0.950443331684385
"['Karl', 'Ove', 'Knausgård', '(', 'føddur', '1968', ')\n']","[1, 1, 2, 2, 2, 2, 0]",0.9363954663276672
"['Atlantic', 'City,', 'New', 'Jersey\n']","[3, 4, 4, 4]",0.8710445821285248
"['Hennara', 'dóttir', 'frá', 'tí', 'øðrum', 'hjúnabandinum', 'var', 'Marie', ""d'Agoult"", '(1805–1876),', 'sum', 'aftur', 'føddi', 'fleiri', 'børn,', 'millum', 'tey—frá', 'hennara', 'samband', 'við', 'Franz', 'Liszt—Cosima', 'Wagner', '(1837–1930).\n']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 1, 2, 0, 0, 0, 0]",0.9358501453553477
"['St.', 'Mary', ""'s"", 'Katólska', 'Kirkja', '(Sandusky,', 'Ohio)\n']","[1, 1, 1, 2, 2, 2, 2]",0.724174830046567
"['Shhh', '...', 'Sig', 'tað', 'ikki\n']","[0, 0, 0, 0, 0]",0.8189905881881714
"['Antonín', 'Rýgr', '(', '1970–72', ')\n']","[1, 3, 4, 4, 0]",0.7738318253647197
"['Indscriptur', 'í', 'United', 'States', 'Hockey', 'Hall', 'of', 'Fame', 'í', '2015\n']","[0, 0, 0, 0, 0, 3, 4, 4, 4, 4]",0.9113640308380127
"['Dia', 'Evtimova', 'Catalina', 'Castaño', 'Dinah', 'Pfizenmaier', 'Tatjana', 'Malek\n']","[1, 1, 1, 2, 2, 2, 2, 2]",0.8749749443747781
"['102.7', 'MHz', 'Triple', 'J', '–', 'ABC\n']","[0, 0, 0, 3, 3, 3]",0.8370017806688944
"['*20px', 'Idaho', 'State', 'Highway', '5\n']","[0, 0, 3, 3, 4]",0.8618563576178118
"[""''Atelocentra''"", 'Meyrick,', '1884\n']","[0, 0, 0]",0.9335815736225673
"[""'"", ""''"", 'Antarktisk', 'prion', ""''"", ""'\n""]","[0, 0, 0, 5, 5, 5]",0.9324607528173007
"['James', 'Franco', '(M.F.A.)\n']","[1, 2, 2]",0.7499690766517932
